"OTU_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ConsensusLineage"
"OTU_292",5.50137573563994,-2.8584713278024,0.861056844834197,-3.31972429573197,0.000901063884153228,0.0091067920290147,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales sp"
"OTU_297",2.3756352268064,-2.2232130497752,0.710646894123431,-3.12843561008943,0.00175739511849433,0.0135970564166167,"k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinaceae; g__Sebacina; s__Sebacina sp"
"OTU_303",22.242975512743,-5.12220053829564,0.871599031897727,-5.87678548373684,4.1830970704487e-09,2.79221729452451e-07,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__unidentified; g__unidentified; s__Chaetothyriales sp"
"OTU_319",13.5015954938656,-3.40837627293088,0.965051790189519,-3.53180659067172,0.000412731106510626,0.00489774246392609,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales sp"
"OTU_344",19.2381012630301,-3.00567223802236,0.918468224944881,-3.27248363785556,0.00106607042862671,0.00948802681477772,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Metacordyceps; s__Pochonia chlamydosporia var spinulospora"
"OTU_376",3.47697074176171,-2.56065542489278,0.777532086574893,-3.29331158045545,0.000990146813749915,0.0091067920290147,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium beomiforme"
"OTU_38",373.039589048599,-5.66579539190603,0.801580124493335,-7.06828328046093,1.56862084779343e-12,8.37643532721691e-10,"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae sedis; f__Myxotrichaceae; g__unidentified; s__Myxotrichaceae sp"
"OTU_392",11.5819441053876,-2.26606621364839,0.791957181388593,-2.8613494099203,0.0042184185346748,0.0258923620404177,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__unidentified; g__unidentified; s__Chaetothyriales sp"
"OTU_400",6.57400965551013,-2.73976051032504,0.831838717150874,-3.29361984942102,0.000989061658411951,0.0091067920290147,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp"
"OTU_422",11.3012959046102,-2.62130902037478,0.882515210624812,-2.97027064102263,0.00297537493277437,0.019615434741994,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus terreus"
"OTU_429",9.64916167573473,-2.6535783437946,0.863767024666823,-3.07209961484482,0.00212558777333614,0.0151341849461533,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__unidentified; g__unidentified; s__Chaetothyriales sp"
"OTU_438",8.38438556703273,-3.38919966445366,0.79080809881853,-4.28574222939439,1.82130074470604e-05,0.000335370550921732,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales sp"
"OTU_44",287.072333580999,-2.96338590232634,1.10682070524692,-2.67738567617891,0.00741991696106519,0.0421862437635953,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium primulinum"
"OTU_45",229.10203164375,-2.31790263401558,0.797039644770513,-2.90813970073341,0.0036358587526478,0.0233921514929388,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Davidiellaceae; g__Cladosporium; s__Cladosporium exasperatum"
"OTU_463",3.81225906895112,-2.60506165670756,0.788682430021522,-3.30305526983335,0.000956375360047774,0.0091067920290147,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__unidentified; g__unidentified; s__Chaetothyriales sp"
"OTU_465",8.06860936427656,-3.11193727048858,0.850836361970792,-3.65750385101125,0.00025468343424664,0.00340002384719264,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__Botryosphaeriaceae; g__Neofusicoccum; s__Neofusicoccum batangarum"
"OTU_466",2.47705221642621,-2.04026983321481,0.677414679078025,-3.01184768536705,0.00259662851284244,0.0180077873488034,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Cercophora; s__Cercophora sp"
